id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
72;ti_Zinfandel;Zinfandel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;41.460;45.226;70.341;310.520;1.567.535;1.216.093;1.816.589;2.500.275;2.517.495;1.885.121;1.011.625;1.689.415;593.579;84.271;189.989;140.148;74.289;60.875;1.541;479;0;0;0;0;372;0;0;0;0;0;0;0;0;nd;0;0;*;0
73;ti_Outras1;Outras1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.690;10.833;15.000;620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
74;BRANCASEROSADAS;BRANCAS E ROSADAS;18.858.541;22.168.237;18.073.470;12.213.901;25.625.874;29.361.700;29.805.536;32.674.849;30.557.815;36.390.466;28.354.293;39.473.039;46.757.024;32.040.687;41.615.070;66.103.513;47.542.250;48.998.099;77.578.061;76.181.146;73.556.749;46.526.526;53.561.836;53.106.956;52.888.752;46.675.896;42.887.098;44.119.355;32.115.220;40.486.844;49.613.743;31.608.881;28.623.940;21.018.356;27.340.450;29.066.571;22.335.925;28.254.191;34.602.464;32.556.903;22.104.122;37.931.015;36.519.724;36.958.341;35.769.155;40.130.577;18.769.366;44.058.213;38.722.156;nd;41.004.206;71.266.239;*;63.676.298
75;br_Aliatico;Aliatico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.587;1.850;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
76;br_Aligote;Aligote;530;1.000;1.969;0;618;5.009;372;0;720;0;0;482;590;756;938;0;0;0;0;0;0;0;0;0;0;53.465;0;0;23.716;0;0;0;90;0;0;0;0;0;0;0;0;2.640;0;0;0;0;0;0;0;nd;0;0;*;0
77;br_Altesse;Altesse;0;0;0;0;0;0;0;0;0;248;550;5.430;11.086;12.938;15.903;36.111;43.477;8.556;39.549;42.682;40.662;18.270;31.166;24.592;28.012;13.250;110.708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
78;br_Alvarinho;Alvarinho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;476;1.596;0;2.477;1.071;1.675;1.088;6.668;5.081;12.413;16.147;9.860;16.369;41.225;32.647;nd;46.574;242.238;*;150.467
79;br_Arriloba;Arriloba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.439;26.135;0;36.661;34.696;32.954;49.339;45.825;27.410;22.832;51.380;35.375;33.750;38.390;40.000;28.829;31.140;34.120;17.070;5.280;2.580;nd;2.940;0;*;0
80;br_Auxerrois;Auxerrois;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.020;0;3.057;0;0;0;980;640;0;0;0;361;616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
81;br_Burger;Burger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.665;20.591;0;4.280;0;0;0;0;18.394;12.215;17.093;14.640;25.067;12.295;14.427;13.028;6.507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
82;br_Chardonnay;Chardonnay;0;0;0;0;0;0;0;0;0;0;0;766;2.590;12.370;17.191;191.484;352.746;396.887;1.016.199;1.379.927;1.310.807;2.185.942;3.127.459;4.940.497;6.118.355;3.271.043;3.402.706;4.745.010;2.966.716;1.501.537;2.873.611;2.197.800;1.604.484;1.568.275;1.745.396;4.441.390;1.830.171;1.752.488;5.829.449;4.812.743;3.836.555;4.916.344;6.347.044;6.174.156;5.821.514;7.253.167;3.070.142;7.856.910;6.068.902;nd;6.514.864;4.200.465;*;8.315.602
83;br_Chasselas;Chasselas;0;0;13.255;0;0;0;271;0;0;916;1.524;18.384;44.280;34.988;48.466;160.169;123.305;100.699;189.452;249.408;239.011;114.585;135.893;171.949;113.748;112.411;126.389;130.461;80.410;267.566;179.914;89.938;113.502;53.094;84.254;103.057;111.200;48.268;58.390;32.425;47.099;29.543;0;0;0;0;0;0;0;nd;0;0;*;0
84;br_Chenin Blanc;Chenin Blanc;0;0;0;0;0;0;0;0;0;0;0;0;228;14.681;14.678;40.276;110.067;97.373;226.826;217.512;386.466;504.502;383.916;515.270;461.153;557.814;493.923;588.756;398.013;492.063;496.981;343.919;231.841;44.622;386.277;519.802;400.160;355.185;362.750;347.230;73.720;212.900;257.090;264.090;146.760;173.321;60.580;266.524;387.360;nd;465.377;49.100;*;298.406
85;br_Clairette(1);Clairette(1);146.617;116.887;120.166;94.006;116.154;139.266;144.596;87.281;86.242;86.382;29.871;52.133;67.028;5.834;11.168;13.929;12.182;910;0;0;754;0;0;0;5.228;0;153.092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;949;0;0;0;0;0;0;0;nd;0;0;*;
86;br_Colombard;Colombard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.480;23.000;32.200;28.460;38.460;26.500;89.500;128.370;117.660;0;203.100;0;171.673;282.698;343.181;276.372;208.977;153.359;451.264;654.642;518.836;593.625;879.719;717.624;479.201;445.104;773.273;673.158;563.589;512.199;201.659;535.573;522.866;nd;467.614;97.713;*;374.903
87;br_Flora;Flora;0;0;0;0;0;0;0;0;0;0;0;0;0;28.568;28.570;53.233;52.143;73.563;132.433;163.005;184.768;212.220;335.242;423.725;345.158;476.088;346.727;585.629;311.974;496.779;581.824;452.383;215.546;323.181;259.473;339.979;251.511;176.396;176.229;131.760;35.860;37.620;68.260;72.410;45.240;25.090;1.050;5.810;2.060;nd;0;0;*;0
88;br_Garganega;Garganega;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.010;45.800;35.110;16.970;8.530;3.170;0;0;0;0;0;0;0;0;0;nd;540;439.160;*;400
89;br_Gewurztraminer;Gewurztraminer;0;0;0;0;0;0;0;0;0;0;0;1.008;1.258;2.438;8.573;88.037;206.986;314.215;740.238;1.266.410;1.616.040;1.648.915;1.220.343;1.663.736;1.206.405;751.049;844.959;838.944;417.301;293.892;474.897;291.364;161.367;92.344;253.539;315.932;142.266;284.818;196.483;155.338;105.186;206.833;327.678;239.469;162.083;207.303;85.385;223.350;208.171;nd;192.058;3.201.453;*;239.070
90;br_Gouveio;Gouveio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596;1.452;5.312;5.848;2.090;7.830;4.358;0;0;0;0;0;0;0;0;nd;0;0;*;0
91;br_Gros Manseng;Gros Manseng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.744;4.360;2.500;5.770;1.800;3.289;4.430;7.220;0;4.640;4.830;7.410;0;5.680;2.430;nd;6.296;0;*;4.510
92;br_Italia (Pirovano 65) (PE);Italia (Pirovano 65) (PE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.650;2.230;6.405;61.799;5.671;40.230;37.820;0;180;2.942;nd;200;1.858.705;*;10.350
93;br_Maccabeo;Maccabeo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.558;0;17.670;0;0;0;nd;0;0;*;0
94;br_Malvasia;Malvasia;878.012;611.457;763.732;645.868;795.847;1.405.733;332.150;378.085;1.068.838;1.747.354;2.115.375;1.614.552;2.522.725;1.526.008;1.886.676;3.422.293;2.261.265;1.526.629;3.392.751;3.428.752;3.945.671;2.006.859;2.279.929;2.986.640;2.786.463;2.855.822;1.587.944;1.957.293;1.718.461;1.184.410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
95;br_Malvasia Amarela;Malvasia Amarela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.040;0;0;0;0;175.917;400.884;326.928;228.062;160.402;169.923;184.579;61.112;94.281;131.350;153.905;251.587;107.015;115.147;519.959;149.663;119.930;10.100;44.445;52.936;nd;24.440;3.980;*;67.467
96;br_Malvasia Bianca;Malvasia Bianca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.046;12.319;16.474;18.306;34.816;0;0;0;40.689;4.710;0;1.792.354;785.519;637.835;407.387;350.631;359.199;192.862;191.316;325.942;281.064;49.176;138.608;119.122;184.949;414.603;602.081;217.177;629.101;574.521;nd;494.343;1.165.104;*;80.786
97;br_Malvasia Chianti;Malvasia Chianti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.411;24.030;14.705;15.235;4.730;0;2.142;0;0;5.061;7.632;0;1.314;0;0;nd;0;0;*;0
98;br_Malvasia Verde;Malvasia Verde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.637;0;0;10.510;0;65.144;0;0;0;0;173.550;60.915;244.313;201.609;165.991;285.416;145.111;145.670;253.369;289.366;331.718;83.565;60.776;10.979;18.690;8.825;5.108;2.460;10.457;15.220;nd;26.597;3.578;*;46.510
99;br_Malvasia di Candia;Malvasia di Candia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403.192;273.020;135.690;134.390;146.558;160.845;228.221;283.476;628.749;739.588;649.194;1.727.224;1.825.193;1.692.882;1.888.539;2.512.864;1.268.750;2.785.543;2.557.871;nd;3.389.071;1.544.223;*;6.869.071
100;br_Malvasia Istriana;Malvasia Istriana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;1.090;950;*;0
101;br_Mistura de uvas viníferas;Mistura de uvas viníferas branco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;12.278;*;41.078
102;br_Mistura de uvas viníferas;Mistura de uvas viníferas rosado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;325.922;*;1.100
103;br_Moscato_branco;Moscato Branco;5.772.931;5.334.475;5.378.768;3.490.996;10.348.989;8.716.599;9.297.817;10.212.209;8.696.749;11.743.280;7.650.069;12.114.399;13.984.946;9.067.746;11.156.471;18.464.456;12.858.661;15.436.116;22.528.034;22.513.823;19.690.691;9.533.114;19.854.192;15.255.972;14.611.629;14.045.052;14.374.633;13.576.155;9.495.554;19.636.525;19.535.723;12.038.417;13.809.332;9.788.714;13.066.588;10.145.908;10.748.618;15.717.087;14.744.061;14.294.841;8.595.609;16.871.284;13.322.429;13.136.399;12.669.980;12.788.740;6.068.181;14.475.142;11.202.231;nd;11.868.851;12.100.995;*;20.657.082
104;br_Moscato Canelli;Moscato Canelli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.581;19.758;1.059;13.112;461.612;57.796;84.053;65.107;61.009;55.811;92.887;123.255;64.800;85.785;72.462;30.378;57.083;121.008;nd;138.482;109.714;*;351.555
105;br_Moscato Giallo;Moscato Giallo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.217;17.700;115.727;357.251;349.892;691.230;703.485;776.846;1.173.519;1.122.457;1.446.926;1.151.570;1.949.920;1.641.498;1.813.522;1.742.605;1.785.956;813.952;2.091.933;1.590.531;nd;1.597.829;6.365.205;*;3.111.774
106;br_Moscato Nazareno;Moscato Nazareno;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287.347;401.583;503.500;948.435;921.620;544.530;616.480;1.035.000;858.910;690.210;882.104;633.606;831.206;886.808;886.075;361.638;890.655;639.810;nd;554.762;77.912;*;504.982
107;br_Moscato Bianco R2;Moscato Bianco R2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287.021;443.153;331.718;406.650;430.599;510.594;317.404;808.748;618.266;678.267;770.265;863.910;257.647;868.260;867.445;nd;864.917;2.920.047;*;1.211.053
108;br_Moscato de Alexandria;Moscato de Alexandria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.550;45.277;32.129;51.979;85.756;87.359;41.426;105.384;184.748;211.532;160.290;192.945;53.037;115.910;95.647;nd;153.442;431.897;*;404.111
109;br_Moscato Rosado;Moscato Rosado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.105;1.872;13.219;0;0;0;5.310;1.226;0;0;2.396;7.617;0;0;0;0;0;0;0;nd;500;15.030;*;900
110;br_Muscat a Petits Grains;Muscat à Petits Grains;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.000;nd;8.030;895.346;*;6.000
111;br_Muller Thurgau;Muller Thurgau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.028;7.026;11.881;17.629;17.142;36.313;19.915;26.382;31.497;40.535;27.587;15.307;19.699;15.232;19.128;22.207;12.530;7.770;3.820;3.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
112;br_Muscadelle;Muscadelle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.007;5.536;5.515;4.425;5.430;4.215;600;842;1.342;2.489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
113;br_Ora;Ora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.045;0;0;0;0;0;0;0;0;nd;0;0;*;0
114;br_Palomino;Palomino;0;0;0;0;0;715;0;1.156;1.430;2.507;3.917;5.329;5.687;7.328;19.500;30.395;46.533;50.919;62.679;64.664;58.657;50.188;75.366;107.812;16.137;17.661;29.436;16.819;13.406;19.023;28.451;19.125;7.959;5.500;4.530;4.184;2.270;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
115;br_Petit Manseng;Petit Manseng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.430;nd;0;570;*;3.915
116;br_Peverella;Peverella;2.084.128;2.117.931;1.087.692;1.416.283;1.596.138;2.648.598;1.908.436;1.389.009;2.110.072;1.959.410;1.047.031;1.508.861;2.423.524;1.375.905;1.288.629;2.630.718;2.036.768;1.683.632;1.848.715;1.943.429;2.072.218;1.369.962;830.149;1.002.158;1.590.524;781.672;541.364;522.848;543.544;224.731;556.215;325.243;282.527;159.457;189.972;192.474;137.031;111.726;103.270;48.994;28.945;64.218;43.656;44.137;28.452;40.719;5.557;16.350;33.439;nd;15.858;70.925;*;45.898
117;br_Pinot Blanc;Pinot Blanc;4.000;0;0;0;0;479;2.066;11.984;21.313;930;900;572;1.825;9.076;15.611;129.010;168.354;229.908;413.142;516.219;801.355;779.277;356.714;496.546;563.207;519.140;536.426;421.175;257.467;229.112;486.786;227.064;170.590;63.768;77.942;60.704;12.245;14.620;40.109;8.030;16.940;26.307;10.174;8.720;5.980;7.218;0;0;17.028;nd;3.000;0;*;1.310
118;br_Pinot Gris;Pinot Gris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.680;4.771;4.324;5.821;4.054;4.091;1.548;3.358;992;0;257;0;0;0;0;2.904;23.206;41.070;28.779;41.660;52.000;36.036;158.788;187.685;126.844;118.123;118.118;67.394;165.697;98.728;nd;183.818;79.922;*;178.683
119;br_Prosecco;Prosecco;0;0;0;0;0;0;0;0;0;0;0;0;7.771;8.211;9.327;108.830;122.524;235.512;449.028;401.705;364.665;266.752;249.335;319.841;358.042;269.092;325.159;319.186;249.502;228.568;455.579;365.590;360.238;341.380;395.644;789.457;917.214;910.158;1.930.887;2.169.397;1.345.161;2.720.048;2.420.715;2.852.648;3.030.347;3.319.779;1.873.735;3.342.655;4.018.371;nd;4.393.451;184.218;*;7.856.146
120;br_Red Veltliner;Red Veltliner;0;0;0;0;0;0;0;0;0;0;0;1.156;4.240;1.499;2.440;4.689;2.522;654;1.512;0;0;0;0;0;5.917;9.016;10.527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
121;br_Riesling Italico;Riesling Italico;413.149;404.159;304.688;402.329;1.413.722;1.549.553;1.505.603;1.782.484;1.609.807;1.886.081;2.360.144;3.447.930;3.752.318;3.402.460;4.557.416;7.207.668;4.267.206;8.110.697;10.052.438;9.385.386;11.632.192;7.151.423;7.351.738;7.711.434;8.114.641;8.708.541;8.270.792;8.184.477;4.532.556;6.573.788;8.855.066;5.573.372;3.821.716;3.135.257;2.964.308;3.496.056;1.901.717;1.960.822;2.698.892;2.466.530;2.120.405;2.618.429;3.172.992;3.069.854;2.705.224;3.468.606;1.697.248;4.283.929;3.724.926;nd;3.020.102;20.399.648;*;4.642.666
122;br_Riesling Renano;Riesling Renano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.224;163.005;426.596;0;1.505.571;2.105.616;501.972;456.345;987.266;1.388.349;480.873;831.082;609.615;616.675;859.540;479.779;380.135;212.917;154.533;95.021;282.012;252.740;213.256;242.940;243.690;90.530;96.828;125.166;195.120;99.230;94.276;153.605;53.550;105.100;121.020;nd;108.260;13.385.970;*;126.736
123;br_Sauvignon Blanc(2);Sauvignon Blanc(2);2.819;5.492;49.244;12.886;71.812;43.487;66.163;1.161.046;1.267.449;710.596;677.739;880.228;122.285;109.219;65.207;190.061;250.087;251.663;387.957;594.507;764.746;964.644;677.896;1.108.383;1.061.444;1.007.060;945.476;1.022.535;722.142;840.555;1.156.987;805.245;544.973;441.667;690.146;738.053;606.465;618.034;608.983;657.286;350.866;612.060;855.045;633.633;515.939;614.222;295.942;677.028;517.760;nd;818.549;728.633;*;818.122
124;br_Sauvignon Gris;Sauvignon Gris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.213;5.534;2.147;3.629;8.513;2.854;3.737;921;1.504;0;0;0;nd;1.028;0;*;0
125;br_Seara Nova;Seara Nova;0;0;0;0;0;0;0;0;0;0;0;0;5.300;165;425;1.640;965;2.273;5.965;5.941;9.338;6.958;17.061;17.691;53.320;90.957;90.729;72.809;3.707;9.550;18.890;9.120;0;824;6.597;3.900;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
126;br_Semillon;Semillon;1.916;0;5.172;20.447;91.675;99.569;227.838;371.084;969.832;1.125.402;1.150.235;1.547.289;2.699.929;2.868.842;3.930.216;7.393.292;6.503.648;6.382.755;9.118.811;8.974.449;9.189.656;4.808.084;4.049.116;4.720.136;4.777.683;4.168.130;4.078.162;3.656.512;2.794.570;2.710.748;4.310.660;2.778.595;2.037.827;1.129.580;1.284.398;1.375.957;600.858;408.016;562.371;382.995;165.518;312.204;336.252;335.323;149.939;177.672;57.635;188.211;225.952;nd;193.760;4.000;*;112.905
127;br_Schonburger;Schonburger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.155;6.505;15.239;17.687;16.930;0;14.538;21.348;14.087;5.194;0;0;7.454;14.354;nd;14.499;5.500;*;12.687
128;br_Sylvaner;Sylvaner;0;0;0;0;0;0;0;0;159;1.774;5.468;11.068;14.451;34.377;41.038;73.591;66.793;51.359;112.726;141.263;166.398;105.962;120.621;142.734;134.300;88.474;54.173;46.259;764.782;84.391;129.489;50.867;54.811;14.085;11.273;12.927;4.530;4.693;6.587;492;0;1.435;144;155;0;0;0;0;0;nd;0;0;*;2.342
129;br_Tocai Friulano;Tocai Friulano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;923;1.821;619;124;3.467;3.118;6.143;3.122;8.198;7.904;6.530;3.357;811;675;752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;6.150
130;br_Trebbiano;Trebbiano;7.277.270;12.225.175;9.579.813;5.722.394;10.863.544;14.335.368;14.078.518;15.228.827;14.379.466;16.868.971;13.100.126;17.883.890;20.630.475;13.105.231;17.582.216;24.178.593;16.567.251;12.854.969;23.541.232;21.370.782;18.845.488;13.065.462;10.465.345;8.890.736;8.807.970;7.282.643;5.201.279;6.147.074;5.416.678;4.189.110;5.413.475;3.158.394;2.430.532;1.454.210;2.043.524;1.974.463;1.376.390;1.711.643;1.846.212;1.578.176;1.338.957;2.439.317;2.576.020;2.876.041;3.342.859;3.830.336;2.083.491;3.892.478;4.504.485;nd;4.682.326;67.720;*;5.954.818
131;br_Trebbiano Toscano;Trebbiano Toscano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.694;100.047;18.110;nd;122.512;184.310;*;139.845
132;br_Verdea;Verdea;0;6.184;0;1.864;3.216;4.264;2.648;0;1.252;182;0;0;305;1.315;0;0;809;0;0;0;0;0;0;0;24.667;0;1.837;0;0;0;0;0;52;0;60;4.620;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
133;br_Verdelho;Verdelho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.900;7.785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.420;14.339;0;0;0;0;0;1.800;nd;1.540;15.503;*;2.080
134;br_Verdiso;Verdiso;7.950;770;0;0;0;0;0;0;0;0;11.497;10.279;24.470;9.251;46.048;23.684;0;0;5.895;0;970;0;2.670;0;0;0;0;1.250;0;1.654;1.435;1.370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
135;br_Vermentino;Vermentino;20.461;6.097;8.945;6.153;8.954;7.070;6.478;5.649;3.802;3.848;2.446;2.487;717;17.866;29.380;32.124;22.409;22.566;43.631;40.395;29.830;22.976;29.997;31.240;28.165;38.338;16.910;20.335;1.130;12.833;17.835;11.510;8.960;7.612;6.090;6.340;1.040;660;3.090;1.940;560;5.480;4.844;3.220;1.890;790;0;0;0;nd;0;0;*;28.218
136;br_Vernaccia;Vernaccia;122.467;190.297;111.691;65.995;114.553;135.975;142.787;170.590;108.824;252.585;197.401;366.796;428.996;383.615;826.441;1.450.663;978.903;1.124.796;1.701.470;1.300.388;1.603.877;1.147.439;821.716;940.415;898.589;674.738;458.887;509.954;319.538;315.739;501.737;258.814;125.716;128.334;94.237;57.162;34.760;32.672;21.146;14.498;6.520;4.930;3.780;7.970;4.150;4.760;0;5.100;4.020;nd;95.680;0;*;800
137;br_Viogner ;Viogner ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;21.794
138;br_Viognier;Viognier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570;3.219;16.581;37.628;41.338;49.935;76.145;144.979;200.288;247.081;149.333;285.217;95.231;365.103;470.555;nd;531.026;78.305;*;974.005
139;br_Outras(3);Outras(3);2.126.291;1.148.313;648.335;334.680;200.652;270.015;2.089.793;1.875.445;231.860;0;0;0;0;0;0;26;793;1.304;5.724;0;0;26.796;0;16.341;18.318;0;34.280;49.983;0;410;73.487;23.457;240.894;258.677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
